backen,bake,buk,gebacken
befehlen,"command, order",befahl,befohlen
beginnen,begin,begann,begonnen
beißen,bite,biss,gebissen
bergen,"pick up, hold, hide",barg,geborgen
bersten,"burst",barst,geborsten
betrügen,"deceive, cheat",betrog,betrogen
bewegen,move,bewog,bewogen
biegen,"bend, turn",bog,gebogen
bieten,"offer, bid",bot,geboten
binden,tie,band,gebunden
bitten,"request, ask someone to do...",bat,gebeten
blasen,"blow, sound",blies,geblasen
bleiben,"stay, remain",blieb,geblieben
braten,roast,briet,gebraten
brechen,break,brach,gebrochen
brennen,burn,brannte,gebrannt
bringen,"bring, take to...",brachte,gebracht
denken,think,dachte,gedacht
dingen,"hire, engage",dingte,gedungen
dringen,"get through",drang,gedrungen
dürfen,be allowed to...,durfte,gedurft
empfehlen,recommend,empfahl,empfohlen
erschrecken,be frightened,erschrak,erschrocken
erwägen,"consider",erwog,erwogen
essen,eat,aß,gegessen
fahren,"go (not on foot), drive",fuhr,gefahren
fallen,fall,fiel,gefallen
fangen,catch,fing,gefangen
finden,find,fand,gefunden
fliegen,fly,flog,geflogen
fliehen,"flee, run away",floh,geflohen
fließen,flow,floss,geflossen
fressen,eat (done by animals),fraß,gefressen
frieren,"freeze, be cold",fror,gefroren
gären,"brew",gor,gegoren
geben,give,gab,gegeben
gebären,"give birth",gebar,geboren
gedeihen,"flourish, prosper",gedieh,gediehen
gehen,"go, walk",ging,gegangen
gelingen,succeed,gelang,gelungen
gelten,"be valid, be of worth",galt,gegolten
genießen,enjoy,genoss,genossen
geraten,"fall into…, get into",geriet,geraten
geschehen,happen,geschah,geschehen
gewinnen,"win, gain",gewann,gewonnen
gießen,pour,goss,gegossen
gleichen,resemble,glich,geglichen
gleiten,"glide, slide",glitt,geglitten
graben,dig,grub,gegraben
greifen,"grasp, grab hold of",griff,gegriffen
haben,have,hatte,gehabt
halten,"hold, ALSO bring yourself to a standstill",hielt,gehalten
hängen,be hanging,hing,gehangen
heben,"raise, lift",hob,gehoben
heißen,"be called, ALSO bid",hieß,geheißen
helfen,help,half,geholfen
kennen,"know (a place, person, situation etc.)",kannte,gekannt
klingen,sound,klang,geklungen
kommen,come,kam,gekommen
können,"can, be able to...",konnte,gekonnt
kriechen,crawl,kroch,gekrochen
laden,"load, ALSO invite",lud,geladen
lassen,"let, ALSO leave (something behind)",ließ,gelassen
laufen,"walk, go, stride",lief,gelaufen
leiden,suffer,litt,gelitten
leihen,lend (out),lieh,geliehen
lesen,read,las,gelesen
liegen,lie (in a place),lag,gelegen
lügen,tell lies,log,gelogen
messen,measure,maß,gemessen
mögen,like,mochte,gemocht
müssen,"must, have to...",musste,gemusst
nehmen,take,nahm,genommen
nennen,"name, call",nannte,genannt
pfeifen,"whistle, pipe",pfiff,gepfiffen
raten,"advise, guess",riet,geraten
rinnen,"run, stream, pour",rann,geronnen
reiben,rub,rieb,gerieben
reißen,"tear, rip",riss,gerissen
reiten,ride (on horse),ritt,geritten
rennen,"run, race",rannte,gerannt
riechen,smell,roch,gerochen
rufen,"call, shout",rief,gerufen
saufen,"drink booze",soff,gesoffen
saugen,"suck, absorb",sog,gesogen
scheiden,separate,schied,geschieden
scheinen,"seem, shine",schien,geschienen
schelten,"scold",schalt,gescholten
schieben,"shove, push",schob,geschoben
schießen,shoot,schoss,geschossen
schlafen,sleep,schlief,geschlafen
schlagen,"hit, beat, strike",schlug,geschlagen
schließen,"shut, conclude",schloss,geschlossen
schnauben,"snort",schnaubte,geschnaubt
schneiden,cut,schnitt,geschnitten
schreiben,write,schrieb,geschrieben
schreien,"shout, yell",schrie,geschrien
schweigen,be silent,schwieg,geschwiegen
schwellen,swell,schwoll,geschwollen
schwingen,swing,schwang,geschwungen
schwinden,"disappear, fade",schwand,geschwunden
schwören,swear (on oath),schwur,geschworen
schwimmen,swim,schwamm,geschwommen
sehen,see,sah,gesehen
sein,be,war,gewesen
senden,send,sandte,gesandt
singen,sing,sang,gesungen
sinken,sink,sank,gesunken
sinnen,"meditate, muse, reflect",sann,gesonnen
sitzen,sit,saß,gesessen
sollen,be supposed to,sollte,gesollt
spinnen,"be crazy",spann,gesponnen
sprechen,speak,sprach,gesprochen
springen,"jump, spring",sprang,gesprungen
stechen,sting,stach,gestochen
stehen,stand,stand,gestanden
stehlen,steal,stahl,gestohlen
steigen,rise,stieg,gestiegen
sterben,die,starb,gestorben
stinken,stink,stank,gestunken
stoßen,"push, kick etc.",stieß,gestoßen
streiten,"quarrel, clash",stritt,gestritten
tragen,"carry, ALSO wear",trug,getragen
treffen,"meet, ALSO hit",traf,getroffen
treiben,"force, drive, urge, ALSO drift",trieb,getrieben
treten,"step, go",trat,getreten
trinken,drink,trank,getrunken
tun,do,tat,getan
verbergen,"hide, conceal",verbarg,verborgen
verderben,"spoil, ruin",verdarb,verdorben
vergessen,forget,vergaß,vergessen
verlassen,"leave (e.g., a place/person)",verließ,verlassen
verlieren,lose,verlor,verloren
vermeiden,avoid,vermied,vermieden
verschwinden,disappear,verschwand,verschwunden
verzeihen,"pardon, excuse",verzieh,verziehen
wachsen,grow (by itself),wuchs,gewachsen
waschen,wash,wusch,gewaschen
wenden,turn,wandte,gewandt
werben,"advertise, push",warb,geworben
werden,"become, ALSO turn out...",wurde,geworden
werfen,throw,warf,geworfen
wiegen,weigh,wog,gewogen
wissen,know (a fact),wusste,gewusst
winden,"spiral, twine, wrest",wand,gewunden
wollen,want,wollte,gewollt
ziehen,"pull, draw, ALSO go, move",zog,gezogen
zwingen,"compel, force",zwang,gezwungen